tid,tfopwg_disp
123482865,PC
126733133,
270468559,CP
289535142,FP
296780789,
315002523,CP
386435344,
408310006,CP
410094645,FP
423275733,CP
238061845,
81419525,
180987952,
287474726,
131743355,
74482749,
190990336,FP
131979339,
294090620,FP
130415266,
412961700,
270841724,
146261607,FP
196286587,FP
128463355,
146406806,
287329267,
144956678,
146208651,FP
81429971,
145982812,FP
134396419,
141363913,
175176327,
262746281,
145027461,
181304295,
122262940,FP
153651591,
186547153,FP
134404603,
80275202,FP
154459165,
284738182,
77527511,
118021229,
190496853,
145879095,
141227133,
173640199,
267527924,FP
296739893,
30828562,FP
83092282,
101395259,FP
399870368,CP
379929661,CP
65412605,
365781372,FP
281408474,
293853437,
123898871,FP
97158538,
349790953,FP
348755723,FP
344926234,FP
286132427,FP
146463781,FP
133334108,
78154865,FP
82362447,FP
147977348,
49079670,
79292541,
432008938,FP
63303499,
157568289,
238197709,
92992033,
78672342,FP
35582553,
349373192,FP
72090501,
22221375,
33153766,FP
35009898,
35516889,CP
36734222,CP
48103627,CP
48476907,
48476908,
53189332,CP
53735810,CP
54085154,FP
54962195,
54962195,
55092869,CP
73723286,FP
82128636,
101955023,CP
102195674,FP
124573851,
147660201,FP
151681127,FP
151825527,
151959065,FP
158588995,
169226822,CP
219187649,
280206394,
294395926,
308050066,FP
335499997,
410450228,
429304876,
437248515,CP
462162948,
281731203,CP
339857675,
74534430,
339636032,
445822015,FP
101497191,FP
156991337,
320417762,
458589703,
55383975,
55559618,FP
77156829,
77156829,
77253676,
141527579,
149302744,
149302744,
150428135,
150428135,
150428135,
219239945,FP
237914496,
237928815,
237928815,
260004324,
391904697,
219345200,
167342439,
391821647,FP
396720998,
309402106,
38510224,
150151262,
150151262,
150151262,
167600516,
167600516,
219195044,
219195044,
271971130,
119081096,
275248683,FP
150247134,
184952758,
131419878,FP
38571020,
38509907,
177077336,
339961200,
410245915,
174143743,
149788158,
96097215,
144138509,
11561667,
34068865,
36724087,
36724087,
106402532,
146846569,
150271680,
181804752,
181804752,
219189765,
260304800,
279425357,
310009611,
359271092,
373424049,
434486077,
437242640,CP
444842193,
167418903,
15445551,CP
104024556,CP
5868998,
14614418,CP
14661418,CP
61538902,CP
61988212,
72985822,
73228647,
73649615,
130924120,
131081852,FP
152147232,FP
162362398,FP
165317334,
178709444,
178819686,
178819686,
181159386,FP
219401954,
219698950,CP
229047362,CP
229811538,FP
248075138,CP
248111245,CP
277634430,
286864983,
286865921,CP
294301883,CP
304042899,
306996324,
306996324,
334305570,
335630746,
374095457,
398943781,CP
413376180,CP
429358906,
451645081,
460984940,
374829238,
375059587,
350584963,
349829627,
300710077,
308994098,
306472057,
294780517,
300013921,
299945285,
278895705,
277099925,
271596225,
271596225,
260640693,
255685030,
179308757,
177258735,
167303382,
143526444,FP
41227743,
38460940,
33831980,
30853470,
30122649,
149301575,
388106759,
100757807,
363914762,
55525572,
255760319,FP
102840239,
175180796,FP
30312676,
46096489,CP
73717937,CP
111991770,CP
125405602,
127530399,CP
158978373,
193641523,
220029715,CP
243200602,CP
270507305,
271168962,CP
276128561,
281924357,
307610438,FP
350332997,
362249359,
404340025,CP
405700729,
440887364,
440887364,
460205581,
461271719,
466840711,CP
287563610,
238932509,
141768070,
437333618,CP
380886535,
32283946,FP
229141709,FP
231289421,
42015200,
33595516,
423670610,
40083958,
29918916,
138727432,
160222069,
269558487,
306338882,
404467699,CP
198008005,
150430484,
321011127,
372913430,
309254930,
238898571,
231728511,
44797824,
381976956,
358460246,
271596418,
200807066,
219229644,
219344917,
220459826,
237920046,
232025086,
14165625,
32497972,
255704097,
219380235,
37084932,
34077285,
237808867,
92013169,
123846039,
167031605,
25334160,
120269103,
437984134,
438295981,
284288080,
333607525,
33690636,
66561343,
123958679,
42755801,
250484865,
102283403,
229384040,
124543547,
177162886,
210873792,
214361331,
216935214,
238197638,
261257684,
261867566,
298372701,
305424003,
350153977,
364107753,
369327947,
389070884,
406941612,
407126408,
153027658,
259389219,
348844154,FP
207237016,
294869729,
150167117,
271722899,
278775625,
278199349,
301051430,
382068562,
300599466,
176796997,
261258875,
300557619,
175532955,
100921768,
206474443,
260417932,
260130483,
220475245,
260476837,
278198753,
425163745,
332660150,
67772767,
248434716,
408137826,
146520535,
399871011,
434234955,
167714792,
219205407,FP
262330063,
146438872,
189013222,FP
245947683,
449050247,FP
319312479,
449050248,FP
44792534,
146467675,
146434840,FP
249067445,
92880568,
279999655,
5109298,
265077027,
141776043,
25799609,
179155220,
179159972,
178367144,CP
445586472,
453209605,FP
280437559,
174599051,
177722855,
125894957,
409459226,
333821572,
133654092,
347098457,
268371979,
73038411,
5772442,
93594834,
127476180,
177126182,
148659924,FP
33091633,
425220920,
320536216,
52548453,FP
113553629,FP
207277638,
88684250,
7561203,
108835813,
259353953,
93963408,
317951248,
142918609,
341729521,
54390047,
341186896,
